Settlement,StatisticGroup,StatisticGroupKod,Year,Count,NumResidents,CrimeRate,DistrictName
מודיעין עילית,עבירות מין,500,2020,50,83356,0.06%,ירושלים
מודיעין עילית,עבירות מרמה,800,2020,32,83356,0.04%,ירושלים
מודיעין עילית,עבירות נגד אדם,300,2020,3,83356,0.00%,ירושלים
מודיעין עילית,עבירות נגד גוף,400,2020,99,83356,0.12%,ירושלים
מודיעין עילית,עבירות סדר ציבורי,200,2020,296,83356,0.36%,ירושלים
מודיעין עילית,עבירות רשוי,1100,2020,4,83356,0.00%,ירושלים
מודיעין עילית,עבירות תנועה,10000,2020,6,83356,0.01%,ירושלים
מודיעין עילית,כל העבירות,-2,2020,722,83356,0.87%,ירושלים
מודיעין-מכבים-רעות,סעיפי הגדרה,1300,2020,2,99171,0.00%,ירושלים
מודיעין-מכבים-רעות,עבירות בטחון,100,2020,7,99171,0.01%,ירושלים
מודיעין-מכבים-רעות,עבירות כלכליות,900,2020,2,99171,0.00%,ירושלים
מודיעין-מכבים-רעות,עבירות כלפי המוסר,600,2020,146,99171,0.15%,ירושלים
מודיעין-מכבים-רעות,עבירות כלפי הרכוש,700,2020,751,99171,0.76%,ירושלים
מודיעין-מכבים-רעות,עבירות מין,500,2020,36,99171,0.04%,ירושלים
מודיעין-מכבים-רעות,עבירות מנהליות,1000,2020,2,99171,0.00%,ירושלים
מודיעין-מכבים-רעות,עבירות מרמה,800,2020,149,99171,0.15%,ירושלים
מודיעין-מכבים-רעות,עבירות נגד אדם,300,2020,2,99171,0.00%,ירושלים
מודיעין-מכבים-רעות,עבירות נגד גוף,400,2020,259,99171,0.26%,ירושלים
מודיעין-מכבים-רעות,עבירות סדר ציבורי,200,2020,541,99171,0.55%,ירושלים
מודיעין-מכבים-רעות,עבירות רשוי,1100,2020,2,99171,0.00%,ירושלים
מודיעין-מכבים-רעות,עבירות תנועה,10000,2020,18,99171,0.02%,ירושלים
מודיעין-מכבים-רעות,כל העבירות,-2,2020,1917,99171,1.93%,ירושלים
מזכרת בתיה,סעיפי הגדרה,1300,2020,1,15726,0.01%,מרכז
מזכרת בתיה,עבירות כלפי המוסר,600,2020,17,15726,0.11%,מרכז
מזכרת בתיה,עבירות כלפי הרכוש,700,2020,80,15726,0.51%,מרכז
מזכרת בתיה,עבירות מין,500,2020,4,15726,0.03%,מרכז
מזכרת בתיה,עבירות מרמה,800,2020,13,15726,0.08%,מרכז
מזכרת בתיה,עבירות נגד גוף,400,2020,47,15726,0.30%,מרכז
מזכרת בתיה,עבירות סדר ציבורי,200,2020,92,15726,0.59%,מרכז
מזכרת בתיה,עבירות רשוי,1100,2020,1,15726,0.01%,מרכז
מזכרת בתיה,כל העבירות,-2,2020,255,15726,1.62%,מרכז
מיתר,עבירות בטחון,100,2020,16,10947,0.15%,דרום
מיתר,עבירות כלכליות,900,2020,1,10947,0.01%,דרום
מיתר,עבירות כלפי המוסר,600,2020,13,10947,0.12%,דרום
מיתר,עבירות כלפי הרכוש,700,2020,107,10947,0.98%,דרום
מיתר,עבירות מין,500,2020,6,10947,0.05%,דרום
מיתר,עבירות מנהליות,1000,2020,1,10947,0.01%,דרום
מיתר,עבירות מרמה,800,2020,15,10947,0.14%,דרום
מיתר,עבירות נגד גוף,400,2020,16,10947,0.15%,דרום
מיתר,עבירות סדר ציבורי,200,2020,152,10947,1.39%,דרום
מיתר,עבירות רשוי,1100,2020,2,10947,0.02%,דרום
מיתר,עבירות תנועה,10000,2020,5,10947,0.05%,דרום
מיתר,שאר עבירות,1200,2020,2,10947,0.02%,דרום
מיתר,כל העבירות,-2,2020,336,10947,3.07%,דרום
מסעדה,עבירות בטחון,100,2020,3,3869,0.08%,צפון
מסעדה,עבירות כלפי המוסר,600,2020,10,3869,0.26%,צפון
מסעדה,עבירות כלפי הרכוש,700,2020,26,3869,0.67%,צפון
מסעדה,עבירות מין,500,2020,5,3869,0.13%,צפון
מסעדה,עבירות מרמה,800,2020,2,3869,0.05%,צפון
מסעדה,עבירות נגד גוף,400,2020,23,3869,0.59%,צפון
מסעדה,עבירות סדר ציבורי,200,2020,45,3869,1.16%,צפון
מסעדה,כל העבירות,-2,2020,114,3869,2.95%,צפון
מעיליא,סעיפי הגדרה,1300,2020,1,3281,0.03%,צפון
מעיליא,עבירות בטחון,100,2020,1,3281,0.03%,צפון
מעיליא,עבירות כלכליות,900,2020,1,3281,0.03%,צפון
מעיליא,עבירות כלפי המוסר,600,2020,6,3281,0.18%,צפון
מעיליא,עבירות כלפי הרכוש,700,2020,18,3281,0.55%,צפון
מעיליא,עבירות מין,500,2020,1,3281,0.03%,צפון
מעיליא,עבירות מרמה,800,2020,3,3281,0.09%,צפון
מעיליא,עבירות נגד גוף,400,2020,22,3281,0.67%,צפון
מעיליא,עבירות סדר ציבורי,200,2020,51,3281,1.55%,צפון
מעיליא,כל העבירות,-2,2020,104,3281,3.17%,צפון
מעלה אדומים,סעיפי הגדרה,1300,2020,3,38046,0.01%,ירושלים
מעלה אדומים,עבירות בטחון,100,2020,69,38046,0.18%,ירושלים
מעלה אדומים,עבירות כלפי המוסר,600,2020,88,38046,0.23%,ירושלים
מעלה אדומים,עבירות כלפי הרכוש,700,2020,239,38046,0.63%,ירושלים
מעלה אדומים,עבירות מין,500,2020,24,38046,0.06%,ירושלים
מעלה אדומים,עבירות מרמה,800,2020,38,38046,0.10%,ירושלים
מעלה אדומים,עבירות נגד אדם,300,2020,1,38046,0.00%,ירושלים
מעלה אדומים,עבירות נגד גוף,400,2020,186,38046,0.49%,ירושלים
מעלה אדומים,עבירות סדר ציבורי,200,2020,354,38046,0.93%,ירושלים
מעלה אדומים,עבירות רשוי,1100,2020,3,38046,0.01%,ירושלים
מעלה אדומים,עבירות תנועה,10000,2020,5,38046,0.01%,ירושלים
מעלה אדומים,שאר עבירות,1200,2020,1,38046,0.00%,ירושלים
מעלה אדומים,כל העבירות,-2,2020,1011,38046,2.66%,ירושלים
מעלה אפרים,עבירות בטחון,100,2020,2,1377,0.15%,ירושלים
מעלה אפרים,עבירות כלכליות,900,2020,1,1377,0.07%,ירושלים
מעלה אפרים,עבירות כלפי המוסר,600,2020,5,1377,0.36%,ירושלים
מעלה אפרים,עבירות כלפי הרכוש,700,2020,17,1377,1.23%,ירושלים
מעלה אפרים,עבירות מין,500,2020,1,1377,0.07%,ירושלים
מעלה אפרים,עבירות מרמה,800,2020,4,1377,0.29%,ירושלים
מעלה אפרים,עבירות נגד אדם,300,2020,1,1377,0.07%,ירושלים
מעלה אפרים,עבירות נגד גוף,400,2020,5,1377,0.36%,ירושלים
מעלה אפרים,עבירות סדר ציבורי,200,2020,24,1377,1.74%,ירושלים
מעלה אפרים,עבירות רשוי,1100,2020,1,1377,0.07%,ירושלים
מעלה אפרים,שאר עבירות,1200,2020,1,1377,0.07%,ירושלים
מעלה אפרים,כל העבירות,-2,2020,62,1377,4.50%,ירושלים
מעלה עירון,עבירות בטחון,100,2020,38,15861,0.24%,חיפה
מעלה עירון,עבירות כלפי המוסר,600,2020,23,15861,0.15%,חיפה
מעלה עירון,עבירות כלפי הרכוש,700,2020,70,15861,0.44%,חיפה
מעלה עירון,עבירות מרמה,800,2020,8,15861,0.05%,חיפה
מעלה עירון,עבירות נגד גוף,400,2020,74,15861,0.47%,חיפה
מעלה עירון,עבירות סדר ציבורי,200,2020,173,15861,1.09%,חיפה
מעלה עירון,עבירות תנועה,10000,2020,1,15861,0.01%,חיפה
מעלה עירון,כל העבירות,-2,2020,387,15861,2.44%,חיפה
מעלות-תרשיחא,עבירות בטחון,100,2020,9,22521,0.04%,צפון
מעלות-תרשיחא,עבירות כלכליות,900,2020,4,22521,0.02%,צפון
מעלות-תרשיחא,עבירות כלפי המוסר,600,2020,169,22521,0.75%,צפון
מעלות-תרשיחא,עבירות כלפי הרכוש,700,2020,125,22521,0.56%,צפון
מעלות-תרשיחא,עבירות מין,500,2020,10,22521,0.04%,צפון
מעלות-תרשיחא,עבירות מרמה,800,2020,46,22521,0.20%,צפון
מעלות-תרשיחא,עבירות נגד אדם,300,2020,1,22521,0.00%,צפון
מעלות-תרשיחא,עבירות נגד גוף,400,2020,97,22521,0.43%,צפון
מעלות-תרשיחא,עבירות סדר ציבורי,200,2020,272,22521,1.21%,צפון
מעלות-תרשיחא,עבירות רשוי,1100,2020,3,22521,0.01%,צפון
מעלות-תרשיחא,עבירות תנועה,10000,2020,5,22521,0.02%,צפון
מעלות-תרשיחא,כל העבירות,-2,2020,741,22521,3.29%,צפון
מצפה רמון,עבירות בטחון,100,2020,2,5263,0.04%,דרום
מצפה רמון,עבירות כלפי המוסר,600,2020,23,5263,0.44%,דרום
מצפה רמון,עבירות כלפי הרכוש,700,2020,83,5263,1.58%,דרום
מצפה רמון,עבירות מין,500,2020,8,5263,0.15%,דרום
מצפה רמון,עבירות מנהליות,1000,2020,37,5263,0.70%,דרום
מצפה רמון,עבירות מרמה,800,2020,7,5263,0.13%,דרום
מצפה רמון,עבירות נגד אדם,300,2020,3,5263,0.06%,דרום
מצפה רמון,עבירות נגד גוף,400,2020,54,5263,1.03%,דרום
מצפה רמון,עבירות סדר ציבורי,200,2020,91,5263,1.73%,דרום
מצפה רמון,עבירות רשוי,1100,2020,4,5263,0.08%,דרום
מצפה רמון,כל העבירות,-2,2020,312,5263,5.93%,דרום
משהד,עבירות בטחון,100,2020,3,8771,0.03%,צפון
משהד,עבירות כלפי המוסר,600,2020,8,8771,0.09%,צפון
משהד,עבירות כלפי הרכוש,700,2020,40,8771,0.46%,צפון
משהד,עבירות מין,500,2020,3,8771,0.03%,צפון
משהד,עבירות מרמה,800,2020,9,8771,0.10%,צפון
משהד,עבירות נגד אדם,300,2020,1,8771,0.01%,צפון
משהד,עבירות נגד גוף,400,2020,34,8771,0.39%,צפון
משהד,עבירות סדר ציבורי,200,2020,90,8771,1.03%,צפון
משהד,כל העבירות,-2,2020,188,8771,2.14%,צפון
נהריה,סעיפי הגדרה,1300,2020,1,63947,0.00%,צפון
נהריה,עבירות בטחון,100,2020,7,63947,0.01%,צפון
נהריה,עבירות כלכליות,900,2020,14,63947,0.02%,צפון
נהריה,עבירות כלפי המוסר,600,2020,211,63947,0.33%,צפון
נהריה,עבירות כלפי הרכוש,700,2020,881,63947,1.38%,צפון
נהריה,עבירות מין,500,2020,58,63947,0.09%,צפון
נהריה,עבירות מרמה,800,2020,171,63947,0.27%,צפון
נהריה,עבירות נגד אדם,300,2020,5,63947,0.01%,צפון
נהריה,עבירות נגד גוף,400,2020,420,63947,0.66%,צפון
נהריה,עבירות סדר ציבורי,200,2020,864,63947,1.35%,צפון
נהריה,עבירות רשוי,1100,2020,7,63947,0.01%,צפון
נהריה,עבירות תנועה,10000,2020,6,63947,0.01%,צפון
נהריה,כל העבירות,-2,2020,2645,63947,4.14%,צפון
נוף הגליל,סעיפי הגדרה,1300,2020,3,44184,0.01%,צפון
נוף הגליל,עבירות בטחון,100,2020,25,44184,0.06%,צפון
נוף הגליל,עבירות כלכליות,900,2020,9,44184,0.02%,צפון
נוף הגליל,עבירות כלפי המוסר,600,2020,373,44184,0.84%,צפון
נוף הגליל,עבירות כלפי הרכוש,700,2020,711,44184,1.61%,צפון
נוף הגליל,עבירות מין,500,2020,32,44184,0.07%,צפון
נוף הגליל,עבירות מרמה,800,2020,99,44184,0.22%,צפון
נוף הגליל,עבירות נגד אדם,300,2020,2,44184,0.00%,צפון
נוף הגליל,עבירות נגד גוף,400,2020,497,44184,1.12%,צפון
נוף הגליל,עבירות סדר ציבורי,200,2020,990,44184,2.24%,צפון
נוף הגליל,עבירות רשוי,1100,2020,7,44184,0.02%,צפון
נוף הגליל,עבירות תנועה,10000,2020,23,44184,0.05%,צפון
נוף הגליל,כל העבירות,-2,2020,2771,44184,6.27%,צפון
נחף,סעיפי הגדרה,1300,2020,1,13717,0.01%,צפון
נחף,עבירות בטחון,100,2020,27,13717,0.20%,צפון
נחף,עבירות כלכליות,900,2020,1,13717,0.01%,צפון
נחף,עבירות כלפי המוסר,600,2020,46,13717,0.34%,צפון
נחף,עבירות כלפי הרכוש,700,2020,64,13717,0.47%,צפון
נחף,עבירות מין,500,2020,2,13717,0.01%,צפון
נחף,עבירות מרמה,800,2020,6,13717,0.04%,צפון
נחף,עבירות נגד אדם,300,2020,1,13717,0.01%,צפון
נחף,עבירות נגד גוף,400,2020,96,13717,0.70%,צפון
נחף,עבירות סדר ציבורי,200,2020,201,13717,1.47%,צפון
נחף,עבירות רשוי,1100,2020,2,13717,0.01%,צפון
נחף,עבירות תנועה,10000,2020,1,13717,0.01%,צפון
נחף,כל העבירות,-2,2020,448,13717,3.27%,צפון
נס ציונה,עבירות בטחון,100,2020,4,50341,0.01%,מרכז
נס ציונה,עבירות כלפי המוסר,600,2020,82,50341,0.16%,מרכז
נס ציונה,עבירות כלפי הרכוש,700,2020,395,50341,0.78%,מרכז
נס ציונה,עבירות מין,500,2020,19,50341,0.04%,מרכז
נס ציונה,עבירות מרמה,800,2020,78,50341,0.15%,מרכז
נס ציונה,עבירות נגד גוף,400,2020,158,50341,0.31%,מרכז
נס ציונה,עבירות סדר ציבורי,200,2020,360,50341,0.72%,מרכז
נס ציונה,עבירות תנועה,10000,2020,28,50341,0.06%,מרכז
נס ציונה,כל העבירות,-2,2020,1124,50341,2.23%,מרכז
נצרת,סעיפי הגדרה,1300,2020,3,78007,0.00%,צפון
נצרת,עבירות בטחון,100,2020,185,78007,0.24%,צפון
נצרת,עבירות כלכליות,900,2020,49,78007,0.06%,צפון
נצרת,עבירות כלפי המוסר,600,2020,486,78007,0.62%,צפון
נצרת,עבירות כלפי הרכוש,700,2020,710,78007,0.91%,צפון
נצרת,עבירות מין,500,2020,11,78007,0.01%,צפון
נצרת,עבירות מנהליות,1000,2020,1,78007,0.00%,צפון
נצרת,עבירות מרמה,800,2020,106,78007,0.14%,צפון
נצרת,עבירות נגד אדם,300,2020,7,78007,0.01%,צפון
נצרת,עבירות נגד גוף,400,2020,440,78007,0.56%,צפון
נצרת,עבירות סדר ציבורי,200,2020,1597,78007,2.05%,צפון
נצרת,עבירות רשוי,1100,2020,14,78007,0.02%,צפון
נצרת,עבירות תנועה,10000,2020,31,78007,0.04%,צפון
נצרת,כל העבירות,-2,2020,3640,78007,4.67%,צפון
נשר,סעיפי הגדרה,1300,2020,1,23761,0.00%,חיפה
נשר,עבירות בטחון,100,2020,2,23761,0.01%,חיפה
נשר,עבירות כלכליות,900,2020,1,23761,0.00%,חיפה
נשר,עבירות כלפי המוסר,600,2020,58,23761,0.24%,חיפה
נשר,עבירות כלפי הרכוש,700,2020,262,23761,1.10%,חיפה
נשר,עבירות מין,500,2020,14,23761,0.06%,חיפה
נשר,עבירות מרמה,800,2020,43,23761,0.18%,חיפה
נשר,עבירות נגד אדם,300,2020,1,23761,0.00%,חיפה
נשר,עבירות נגד גוף,400,2020,126,23761,0.53%,חיפה
נשר,עבירות סדר ציבורי,200,2020,249,23761,1.05%,חיפה
נשר,עבירות רשוי,1100,2020,5,23761,0.02%,חיפה
נשר,עבירות תנועה,10000,2020,3,23761,0.01%,חיפה
נשר,כל העבירות,-2,2020,765,23761,3.22%,חיפה
נתיבות,עבירות בטחון,100,2020,10,46374,0.02%,דרום
נתיבות,עבירות כלכליות,900,2020,3,46374,0.01%,דרום
נתיבות,עבירות כלפי המוסר,600,2020,143,46374,0.31%,דרום
נתיבות,עבירות כלפי הרכוש,700,2020,424,46374,0.91%,דרום
נתיבות,עבירות מין,500,2020,37,46374,0.08%,דרום
נתיבות,עבירות מרמה,800,2020,67,46374,0.14%,דרום
נתיבות,עבירות נגד אדם,300,2020,2,46374,0.00%,דרום
נתיבות,עבירות נגד גוף,400,2020,318,46374,0.69%,דרום
נתיבות,עבירות סדר ציבורי,200,2020,761,46374,1.64%,דרום
נתיבות,עבירות רשוי,1100,2020,10,46374,0.02%,דרום
נתיבות,עבירות תנועה,10000,2020,13,46374,0.03%,דרום
נתיבות,כל העבירות,-2,2020,1788,46374,3.86%,דרום
נתניה,סעיפי הגדרה,1300,2020,16,233104,0.01%,תל אביב
נתניה,עבירות בטחון,100,2020,18,233104,0.01%,תל אביב
נתניה,עבירות כלכליות,900,2020,25,233104,0.01%,תל אביב
נתניה,עבירות כלפי המוסר,600,2020,524,233104,0.22%,תל אביב
נתניה,עבירות כלפי הרכוש,700,2020,2999,233104,1.29%,תל אביב
נתניה,עבירות מין,500,2020,53,233104,0.02%,תל אביב
נתניה,עבירות מרמה,800,2020,362,233104,0.16%,תל אביב
נתניה,עבירות נגד אדם,300,2020,2,233104,0.00%,תל אביב
נתניה,עבירות נגד גוף,400,2020,1448,233104,0.62%,תל אביב
נתניה,עבירות סדר ציבורי,200,2020,2753,233104,1.18%,תל אביב
נתניה,עבירות רשוי,1100,2020,25,233104,0.01%,תל אביב
נתניה,עבירות תנועה,10000,2020,23,233104,0.01%,תל אביב
נתניה,שאר עבירות,1200,2020,2,233104,0.00%,תל אביב
נתניה,כל העבירות,-2,2020,8250,233104,3.54%,תל אביב
סאג'ור,עבירות בטחון,100,2020,12,4481,0.27%,צפון
סאג'ור,עבירות כלפי המוסר,600,2020,13,4481,0.29%,צפון
סאג'ור,עבירות כלפי הרכוש,700,2020,14,4481,0.31%,צפון
סאג'ור,עבירות מרמה,800,2020,6,4481,0.13%,צפון
סאג'ור,עבירות נגד גוף,400,2020,18,4481,0.40%,צפון
סאג'ור,עבירות סדר ציבורי,200,2020,46,4481,1.03%,צפון
סאג'ור,כל העבירות,-2,2020,109,4481,2.43%,צפון
סח'נין,עבירות בטחון,100,2020,33,33188,0.10%,צפון
סח'נין,עבירות כלכליות,900,2020,3,33188,0.01%,צפון
סח'נין,עבירות כלפי המוסר,600,2020,59,33188,0.18%,צפון
סח'נין,עבירות כלפי הרכוש,700,2020,245,33188,0.74%,צפון
סח'נין,עבירות מין,500,2020,6,33188,0.02%,צפון
סח'נין,עבירות מנהליות,1000,2020,1,33188,0.00%,צפון
סח'נין,עבירות מרמה,800,2020,29,33188,0.09%,צפון
סח'נין,עבירות נגד אדם,300,2020,1,33188,0.00%,צפון
סח'נין,עבירות נגד גוף,400,2020,196,33188,0.59%,צפון
סח'נין,עבירות סדר ציבורי,200,2020,472,33188,1.42%,צפון
סח'נין,עבירות רשוי,1100,2020,3,33188,0.01%,צפון
סח'נין,עבירות תנועה,10000,2020,6,33188,0.02%,צפון
סח'נין,כל העבירות,-2,2020,1054,33188,3.18%,צפון
ע'ג'ר,סעיפי הגדרה,1300,2020,1,2806,0.04%,צפון
ע'ג'ר,עבירות בטחון,100,2020,1,2806,0.04%,צפון
ע'ג'ר,עבירות כלפי המוסר,600,2020,18,2806,0.64%,צפון
ע'ג'ר,עבירות כלפי הרכוש,700,2020,6,2806,0.21%,צפון
ע'ג'ר,עבירות מין,500,2020,1,2806,0.04%,צפון
ע'ג'ר,עבירות מרמה,800,2020,2,2806,0.07%,צפון
ע'ג'ר,עבירות נגד גוף,400,2020,1,2806,0.04%,צפון
ע'ג'ר,עבירות סדר ציבורי,200,2020,13,2806,0.46%,צפון
ע'ג'ר,כל העבירות,-2,2020,43,2806,1.53%,צפון
עומר,עבירות בטחון,100,2020,4,7710,0.05%,דרום
עומר,עבירות כלכליות,900,2020,1,7710,0.01%,דרום
עומר,עבירות כלפי המוסר,600,2020,16,7710,0.21%,דרום
עומר,עבירות כלפי הרכוש,700,2020,166,7710,2.15%,דרום
עומר,עבירות מין,500,2020,5,7710,0.06%,דרום
עומר,עבירות מרמה,800,2020,11,7710,0.14%,דרום
עומר,עבירות נגד גוף,400,2020,25,7710,0.32%,דרום
עומר,עבירות סדר ציבורי,200,2020,82,7710,1.06%,דרום
עומר,עבירות רשוי,1100,2020,3,7710,0.04%,דרום
עומר,עבירות תנועה,10000,2020,3,7710,0.04%,דרום
עומר,כל העבירות,-2,2020,316,7710,4.10%,דרום
עיילבון,עבירות בטחון,100,2020,2,5799,0.03%,צפון
עיילבון,עבירות כלפי המוסר,600,2020,4,5799,0.07%,צפון
עיילבון,עבירות כלפי הרכוש,700,2020,24,5799,0.41%,צפון
עיילבון,עבירות מין,500,2020,1,5799,0.02%,צפון
עיילבון,עבירות מרמה,800,2020,4,5799,0.07%,צפון
עיילבון,עבירות נגד אדם,300,2020,1,5799,0.02%,צפון
עיילבון,עבירות נגד גוף,400,2020,30,5799,0.52%,צפון
עיילבון,עבירות סדר ציבורי,200,2020,68,5799,1.17%,צפון
עיילבון,עבירות רשוי,1100,2020,1,5799,0.02%,צפון
עיילבון,כל העבירות,-2,2020,135,5799,2.33%,צפון
עילוט,עבירות בטחון,100,2020,25,8863,0.28%,צפון
עילוט,עבירות כלכליות,900,2020,3,8863,0.03%,צפון
עילוט,עבירות כלפי המוסר,600,2020,24,8863,0.27%,צפון
עילוט,עבירות כלפי הרכוש,700,2020,46,8863,0.52%,צפון
עילוט,עבירות מרמה,800,2020,2,8863,0.02%,צפון
עילוט,עבירות נגד אדם,300,2020,1,8863,0.01%,צפון
עילוט,עבירות נגד גוף,400,2020,35,8863,0.39%,צפון
עילוט,עבירות סדר ציבורי,200,2020,108,8863,1.22%,צפון
עילוט,עבירות תנועה,10000,2020,2,8863,0.02%,צפון
עילוט,כל העבירות,-2,2020,246,8863,2.78%,צפון
עין מאהל,סעיפי הגדרה,1300,2020,1,13931,0.01%,צפון
עין מאהל,עבירות בטחון,100,2020,6,13931,0.04%,צפון
עין מאהל,עבירות כלפי המוסר,600,2020,41,13931,0.29%,צפון
עין מאהל,עבירות כלפי הרכוש,700,2020,39,13931,0.28%,צפון
עין מאהל,עבירות מין,500,2020,2,13931,0.01%,צפון
עין מאהל,עבירות מרמה,800,2020,8,13931,0.06%,צפון
עין מאהל,עבירות נגד גוף,400,2020,43,13931,0.31%,צפון
עין מאהל,עבירות סדר ציבורי,200,2020,105,13931,0.75%,צפון
עין מאהל,עבירות רשוי,1100,2020,5,13931,0.04%,צפון
עין מאהל,עבירות תנועה,10000,2020,2,13931,0.01%,צפון
עין מאהל,כל העבירות,-2,2020,252,13931,1.81%,צפון
עכו,סעיפי הגדרה,1300,2020,1,51420,0.00%,צפון
עכו,עבירות בטחון,100,2020,31,51420,0.06%,צפון
עכו,עבירות כלכליות,900,2020,9,51420,0.02%,צפון
עכו,עבירות כלפי המוסר,600,2020,472,51420,0.92%,צפון
עכו,עבירות כלפי הרכוש,700,2020,1075,51420,2.09%,צפון
עכו,עבירות מין,500,2020,32,51420,0.06%,צפון
עכו,עבירות מרמה,800,2020,171,51420,0.33%,צפון
עכו,עבירות נגד אדם,300,2020,6,51420,0.01%,צפון
עכו,עבירות נגד גוף,400,2020,596,51420,1.16%,צפון
עכו,עבירות סדר ציבורי,200,2020,1152,51420,2.24%,צפון
עכו,עבירות רשוי,1100,2020,3,51420,0.01%,צפון
עכו,עבירות תנועה,10000,2020,10,51420,0.02%,צפון
עכו,כל העבירות,-2,2020,3558,51420,6.92%,צפון
עמנואל,עבירות בטחון,100,2020,8,4656,0.17%,מרכז
עמנואל,עבירות כלפי המוסר,600,2020,12,4656,0.26%,מרכז
עמנואל,עבירות כלפי הרכוש,700,2020,64,4656,1.37%,מרכז
עמנואל,עבירות מין,500,2020,6,4656,0.13%,מרכז
עמנואל,עבירות מרמה,800,2020,2,4656,0.04%,מרכז
עמנואל,עבירות נגד גוף,400,2020,25,4656,0.54%,מרכז
עמנואל,עבירות סדר ציבורי,200,2020,59,4656,1.27%,מרכז
עמנואל,כל העבירות,-2,2020,176,4656,3.78%,מרכז
עספיא,עבירות בטחון,100,2020,11,12896,0.09%,חיפה
עספיא,עבירות כלפי המוסר,600,2020,36,12896,0.28%,חיפה
עספיא,עבירות כלפי הרכוש,700,2020,101,12896,0.78%,חיפה
עספיא,עבירות מרמה,800,2020,18,12896,0.14%,חיפה
עספיא,עבירות נגד גוף,400,2020,81,12896,0.63%,חיפה
עספיא,עבירות סדר ציבורי,200,2020,224,12896,1.74%,חיפה
עספיא,עבירות רשוי,1100,2020,1,12896,0.01%,חיפה
עספיא,עבירות תנועה,10000,2020,2,12896,0.02%,חיפה
עספיא,שאר עבירות,1200,2020,1,12896,0.01%,חיפה
עספיא,כל העבירות,-2,2020,475,12896,3.68%,חיפה
עפולה,סעיפי הגדרה,1300,2020,1,61519,0.00%,צפון
עפולה,עבירות בטחון,100,2020,29,61519,0.05%,צפון
עפולה,עבירות כלכליות,900,2020,30,61519,0.05%,צפון
עפולה,עבירות כלפי המוסר,600,2020,225,61519,0.37%,צפון
עפולה,עבירות כלפי הרכוש,700,2020,806,61519,1.31%,צפון
עפולה,עבירות מין,500,2020,64,61519,0.10%,צפון
עפולה,עבירות מנהליות,1000,2020,2,61519,0.00%,צפון
עפולה,עבירות מרמה,800,2020,155,61519,0.25%,צפון
עפולה,עבירות נגד אדם,300,2020,7,61519,0.01%,צפון
עפולה,עבירות נגד גוף,400,2020,421,61519,0.68%,צפון
עפולה,עבירות סדר ציבורי,200,2020,1117,61519,1.82%,צפון
עפולה,עבירות רשוי,1100,2020,7,61519,0.01%,צפון
עפולה,עבירות תנועה,10000,2020,13,61519,0.02%,צפון
עפולה,שאר עבירות,1200,2020,3,61519,0.00%,צפון
עפולה,כל העבירות,-2,2020,2880,61519,4.68%,צפון
עראבה,סעיפי הגדרה,1300,2020,1,27115,0.00%,צפון
עראבה,עבירות בטחון,100,2020,30,27115,0.11%,צפון
עראבה,עבירות כלכליות,900,2020,4,27115,0.01%,צפון
עראבה,עבירות כלפי המוסר,600,2020,55,27115,0.20%,צפון
עראבה,עבירות כלפי הרכוש,700,2020,190,27115,0.70%,צפון
עראבה,עבירות מין,500,2020,2,27115,0.01%,צפון
עראבה,עבירות מרמה,800,2020,15,27115,0.06%,צפון
עראבה,עבירות נגד אדם,300,2020,3,27115,0.01%,צפון
עראבה,עבירות נגד גוף,400,2020,171,27115,0.63%,צפון
עראבה,עבירות סדר ציבורי,200,2020,383,27115,1.41%,צפון
עראבה,עבירות רשוי,1100,2020,14,27115,0.05%,צפון
עראבה,עבירות תנועה,10000,2020,5,27115,0.02%,צפון
עראבה,כל העבירות,-2,2020,873,27115,3.22%,צפון
ערד,עבירות בטחון,100,2020,7,28170,0.02%,דרום
ערד,עבירות כלכליות,900,2020,5,28170,0.02%,דרום
ערד,עבירות כלפי המוסר,600,2020,129,28170,0.46%,דרום
ערד,עבירות כלפי הרכוש,700,2020,402,28170,1.43%,דרום
ערד,עבירות מין,500,2020,33,28170,0.12%,דרום
ערד,עבירות מרמה,800,2020,75,28170,0.27%,דרום
ערד,עבירות נגד אדם,300,2020,1,28170,0.00%,דרום
ערד,עבירות נגד גוף,400,2020,295,28170,1.05%,דרום
ערד,עבירות סדר ציבורי,200,2020,626,28170,2.22%,דרום
ערד,עבירות רשוי,1100,2020,3,28170,0.01%,דרום
ערד,עבירות תנועה,10000,2020,8,28170,0.03%,דרום
ערד,שאר עבירות,1200,2020,1,28170,0.00%,דרום
ערד,כל העבירות,-2,2020,1585,28170,5.63%,דרום
ערערה,סעיפי הגדרה,1300,2020,1,26147,0.00%,חיפה
ערערה,עבירות בטחון,100,2020,36,26147,0.14%,חיפה
ערערה,עבירות כלכליות,900,2020,2,26147,0.01%,חיפה
ערערה,עבירות כלפי המוסר,600,2020,61,26147,0.23%,חיפה
ערערה,עבירות כלפי הרכוש,700,2020,139,26147,0.53%,חיפה
ערערה,עבירות מין,500,2020,1,26147,0.00%,חיפה
ערערה,עבירות מרמה,800,2020,28,26147,0.11%,חיפה
ערערה,עבירות נגד אדם,300,2020,1,26147,0.00%,חיפה
ערערה,עבירות נגד גוף,400,2020,122,26147,0.47%,חיפה
ערערה,עבירות סדר ציבורי,200,2020,255,26147,0.98%,חיפה
